Year,At&T*,T-Mobile USA,Verizon
2011,63.21,20.62,70.2
2012,66.76,19.72,75.87
2013,69.9,24.42,81.02
2014,73.99,29.56,87.65
2015,73.71,32.05,91.68
2016,72.59,37.24,89.19
2017,71.09,40.6,87.51
2018,71.34,43.31,91.73
2019,71.06,45,94.2
2020,72.56,68.4,92.08
2021,78.25,80.12,99.49
2022,81.78,79.57,108.96
Wireless revenue of major mobile telecom operators/providers in the U.S. 2011-2022,,,
Wireless revenue generated by major U.S. telecommunication providers from 2011 to 2022 (in billion U.S. dollars),,,
