Address,City,County,Id,License,State,Structure Type,Latitude,Longitude,Structure
"S3, T12N, R10W (101378)",Tyonek,KENAI PENINSULA,20486,AT&T,AK,LTOWER,61.164777778,-151.043805556,50.3
MP 179 Parks Hwy (101380),Cantwell,MATANUSKA-SUSITNA,20485,AT&T,AK,GTOWER,63.094,-149.507,75.6
8751 EAST MILE 6 ROAD  (94021),Wasilla,MATANUSKA-SUSITNA,20484,AT&T,AK,MTOWER,61.680222222,-149.231194444,30.8
HC01 Box 2547  (101366),Glennallen,VALDEZ-CORDOVA,20483,AT&T,AK,MTOWER,62.027388889,-146.635555556,39
65855 Dimond Ridge Road (93995),Homer,KENAI PENINSULA,20482,AT&T,AK,LTOWER,59.680472222,-151.624333333,25.9
2420 Backacres Road (93988),Palmer,MATANUSKA-SUSITNA,20481,AT&T,AK,MTOWER,61.555722222,-149.022583333,33.2
3413 Levan Avenue (93997),Wasilla,MATANUSKA-SUSITNA,20480,AT&T,AK,MTOWER,61.552527778,-149.535555556,35.1
Mi. 165 Glenn Highway  (94042),Glenallen,VALDEZ-CORDOVA,20464,AT&T,AK,GTOWER,62.108138889,-146.175527778,48.8
6 MILES E OF STERLING HIGHWAY ON JOHNS ROAD  (94015),NAPTOWNE,KENAI PENINSULA,20462,AT&T,AK,LTOWER,60.529444444,-150.583333333,80.8
"Lot 1, Block 6, 4th of July Creek (94033)",Seward,KENAI PENINSULA,20461,AT&T,AK,LTOWER,60.083388889,-149.344722222,60.7
5 miles N Kenai Spur Road MP 24  (94018),KENAI,KENAI PENINSULA,20460,AT&T,AK,GTOWER,60.719694444,-151.366388889,25.9
2420 Backacres Road (93988),Palmer,MATANUSKA-SUSITNA,20437,AT&T,AK,MTOWER,61.555722222,-149.022583333,33.2
65855 Dimond Ridge Road (93995),Homer,KENAI PENINSULA,20438,AT&T,AK,LTOWER,59.680472222,-151.624333333,25.9
HC01 Box 2547  (101366),Glennallen,VALDEZ-CORDOVA,20439,AT&T,AK,MTOWER,62.027388889,-146.635555556,39
8751 EAST MILE 6 ROAD  (94021),Wasilla,MATANUSKA-SUSITNA,20440,AT&T,AK,MTOWER,61.680222222,-149.231194444,30.8
MP 179 Parks Hwy (101380),Cantwell,MATANUSKA-SUSITNA,20441,AT&T,AK,GTOWER,63.094,-149.507,75.6
"S3, T12N, R10W (101378)",Tyonek,KENAI PENINSULA,20442,AT&T,AK,LTOWER,61.164777778,-151.043805556,50.3
22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,20443,AT&T,AK,LTOWER,61.431694444,-149.997944444,121.9
18392 N GLENN HWY (101369),SUTTON,MATANUSKA-SUSITNA,20444,AT&T,AK,LTOWER,61.719111111,-148.838388889,36.6
"SE 1/4 S30, T08S, R06W, CRM (101364)",Valdez,VALDEZ-CORDOVA,20445,AT&T,AK,MTOWER,61.14025,-146.3635,11.6
17205 BISHOP STREET (112130),Ninilchik,KENAI PENINSULA,20446,AT&T,AK,MTOWER,60.023,-151.589861111,38.4
MILE POST 36.5 SEWARD HWY (106240),MOOSE PASS,KENAI PENINSULA,20447,AT&T,AK,LTOWER,60.532583333,-149.534444444,18.9
16725 E Maud Rd (110422),Palmer,MATANUSKA-SUSITNA,20448,AT&T,AK,LTOWER,61.585527778,-149.028722222,45.7
5432 Kenai Spur Rd (112129),Kenai,KENAI PENINSULA,20449,AT&T,AK,MTOWER,60.741833333,-151.219861111,37.5
1 MILE SOUTH OF DAYVILLE ROAD (94046),VALDEZ,VALDEZ-CORDOVA,20450,AT&T,AK,MTOWER,61.072138889,-146.202027778,30.8
"Bear Valley Road, 4.8 miles N of Seward (94040)",Seward,KENAI PENINSULA,20451,AT&T,AK,MTOWER,60.182111111,-149.373611111,53.6
37733 West Point Mackenzie Road (126724),Wasilla,MATANUSKA-SUSITNA,20452,AT&T,AK,MTOWER,61.286805556,-149.932055556,43.6
SW 1/4 S27 T22S R11W (101383),Talkeetna,MATANUSKA-SUSITNA,20453,AT&T,AK,LTOWER,62.976861111,-149.637805556,75.9
"NW S14, T11N, R11W (101375)",TYONEK,KENAI PENINSULA,20454,AT&T,AK,LTOWER,61.046333333,-151.183333333,54
MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,20455,AT&T,AK,LTOWER,60.561222222,-149.14175,26.2
MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,20456,AT&T,AK,LTOWER,60.637138889,-149.485,15.2
MP 126.5 RICHARDSON HWY (112127),GAKONA,VALDEZ-CORDOVA,20457,AT&T,AK,LTOWER,62.270277778,-145.409972222,57.9
B Street (94044),Tyonek,KENAI PENINSULA,20458,AT&T,AK,LTOWER,61.07025,-151.141666667,31.7
11 MILES SW OF KASILOF AIR  (93990),Clam Gulch,KENAI PENINSULA,20459,AT&T,AK,LTOWER,60.214138889,-151.414416667,93
KDKWLS-1 Pillar Mountain Road (94024),Kodiak,KODIAK ISLAND,46294,AT&T,AK,LTOWER,57.789972222,-152.426611111,34.1
"Sec 2, T17N, R2E Seward Meridian (110422)",Palmer,MATANUSKA-SUSITNA,24836,AT&T,AK,LTOWER,61.585527778,-149.028722222,45.7
MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,24835,AT&T,AK,LTOWER,60.637138889,-149.485,15.2
MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,24834,AT&T,AK,LTOWER,60.561222222,-149.14175,26.2
MP 51 Alaska Railroad (101389),Moose Pass,KENAI PENINSULA,24833,AT&T,AK,LTOWER,60.663833333,-149.043722222,15.2
22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,24832,AT&T,AK,LTOWER,61.431694444,-149.997944444,121.9
48.3 km SE of Metlakatla   (94067),Hyder,KETCHIKAN GATEWAY,3202,AT&T,AK,LTOWER,54.917777778,-130.842222222,24.4
27.4 KM WNW   (94082),MEYERS CHUCK,PRINCE OF WALES-HYDER,3203,AT&T,AK,LTOWER,55.815722222,-132.685277778,44.5
AB Trail Site  (94085),Anchorage,SKAGWAY-HOONAH-ANGOON,3204,AT&T,AK,LTOWER,59.460777778,-135.32875,30.5
Lindenburg Mtn  (94076),Petersburg,WRANGELL-PETERSBURG,3205,AT&T,AK,BTWR,56.74325,-133.079222222,6.7
"Cemetery Point, Wrangell Radio Group; on Block 62  (94088)",Wrangell,WRANGELL-PETERSBURG,3206,AT&T,AK,LTOWER,56.453888889,-132.384166667,45.7
13.5 MI NW OF SITKA  (94079),SITKA,SITKA,3207,AT&T,AK,LTOWER,57.152416667,-135.645361111,18.3
Cape Spencer Lighthouse  (94059),Gustavus,SKAGWAY-HOONAH-ANGOON,3208,AT&T,AK,LTOWER,58.1985,-136.639638889,19.5
8 KM E OF   (94063),KAKE,WRANGELL-PETERSBURG,3209,AT&T,AK,LTOWER,56.981111111,-133.805833333,23.8
1.5 Mi. N. of Kupreanof   (94077),Sitka,SITKA,3210,AT&T,AK,LTOWER,57.114638889,-134.812305556,22.9
1.6 KM E OF  (94064),GUSTAVUS,SKAGWAY-HOONAH-ANGOON,3211,AT&T,AK,LTOWER,58.418972222,-135.707055556,27.1
MTN TOP NEAR HAINES   (94083),HAINES,HAINES,3212,AT&T,AK,LTOWER,59.250777778,-135.462388889,37.5
11.8 MI SW OF JUNEAU  (94081),HAINES,HAINES,3213,AT&T,AK,LTOWER,58.339638889,-135.079,19.2
1.25 mi NE   (94069),HOONAH,HOONAH-ANGOON,3214,AT&T,AK,LTOWER,58.127777778,-135.4325,36.6
Heinztleman Ridge at R66E  (94066),Juneau,JUNEAU,3215,AT&T,AK,GTOWER,58.3695,-134.553916667,30.5
2715 Tongass Avenue   (94062),Ketchikan,KETCHIKAN GATEWAY,3216,AT&T,AK,LTOWER,55.360944444,-131.796055556,18.3
"SEC32,TS31,SR W OF SEWARD MERIDIAN (100235)",Kodiak,KODIAK ISLAND,46293,AT&T,AK,MTOWER,57.4445,-152.3745,32.9
KDKWLS-1 Pillar Mountain Road (94024),Kodiak,KODIAK ISLAND,46292,AT&T,AK,LTOWER,57.789972222,-152.426611111,34.1
E. Palmer-Wasilla Highway (94028),Palmer,MATANUSKA-SUSITNA,24831,AT&T,AK,MTOWER,61.599694444,-149.187972222,30.4
W. Zero Lake Road (94002),Houston,MATANUSKA-SUSITNA,24830,AT&T,AK,LTOWER,61.639777778,-149.848527778,59.1
0.25 MILES OFF THE END OF KOPPENBERG ROAD (94020),PALMER,MATANUSKA-SUSITNA,24829,AT&T,AK,GTOWER,61.621111111,-149.023333333,31.7
2300 N. MEADOW LAKES DRIVE (94047),PALMER,MATANUSKA-SUSITNA,24828,AT&T,AK,LTOWER,61.605305556,-149.676388889,56.1
MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,24827,AT&T,AK,LTOWER,61.62,-149.256111111,61.3
M 92.5 SEWARD (94104),INDIAN,ANCHORAGE,24826,AT&T,AK,MTOWER,60.929166667,-149.352444444,25.9
6651 Highland Road (94146),Eagle River,ANCHORAGE,24824,AT&T,AK,LTOWER,61.281388889,-149.472805556,29.3
5861 KALGIN DRIVE   (112124),ANCHORAGE,ANCHORAGE,24823,AT&T,AK,MTOWER,61.101805556,-149.771611111,28.4
9100 Sand Lake Road (120378),Anchorage,ANCHORAGE,24822,AT&T,AK,MTOWER,61.144527778,-149.981222222,29
Mi. 18 Hope Hwy   (94001),Hope,KENAI PENINSULA,24821,AT&T,AK,LTOWER,60.927472222,-149.659944444,41.2
"Harbor Loop, Block 1, Lot 10 (94050)",Whittier,VALDEZ-CORDOVA,24820,AT&T,AK,LTOWER,60.777805556,-148.694972222,21.6
400 Bering Street  (93968),NOME,NOME,46181,AT&T,AK,LTOWER,64.500722222,-165.410277778,19.2
KILLISNOO RD  (94056),ANGOON,SKAGWAY-HOONAH-ANGOON,3239,AT&T,AK,LTOWER,57.500194444,-134.580638889,39.6
Lot 3A-2 Highlands Resource Subdivision   (94065),Haines,HAINES,3238,AT&T,AK,GTOWER,59.221388889,-135.438944444,25.9
400 Bering Street  (93968),NOME,NOME,46180,AT&T,AK,LTOWER,64.500722222,-165.410277778,19.2
52618 OLE EAST END RD (97847),Homer,KENAI PENINSULA,20479,AT&T,AK,LTOWER,59.743138889,-151.251138889,35
61950 Skyline Drive (94000),Homer,KENAI PENINSULA,20478,AT&T,AK,MTOWER,59.671055556,-151.50875,29.3
BLOCK 62  (94089),WRANGELL,WRANGELL-PETERSBURG,3237,AT&T,AK,LTOWER,56.474083333,-132.379722222,21.3
Port St Nicholas Road  (94086),Craig,PRINCE OF WALES-OUTER KETCHIKAN,3236,AT&T,AK,BTWR,55.463361111,-133.081027778,6.7
2715 Tongass Avenue   (94062),Ketchikan,KETCHIKAN GATEWAY,3235,AT&T,AK,LTOWER,55.360944444,-131.796055556,18.3
Heinztleman Ridge at R66E  (94066),Juneau,JUNEAU,3234,AT&T,AK,GTOWER,58.3695,-134.553916667,30.5
1.25 mi NE   (94069),HOONAH,HOONAH-ANGOON,3233,AT&T,AK,LTOWER,58.127777778,-135.4325,36.6
11.8 MI SW OF JUNEAU  (94081),HAINES,HAINES,3232,AT&T,AK,LTOWER,58.339638889,-135.079,19.2
MTN TOP NEAR HAINES   (94083),HAINES,HAINES,3231,AT&T,AK,LTOWER,59.250777778,-135.462388889,37.5
1.6 KM E OF  (94064),GUSTAVUS,SKAGWAY-HOONAH-ANGOON,3230,AT&T,AK,LTOWER,58.418972222,-135.707055556,27.1
1.5 Mi. N. of Kupreanof   (94077),Sitka,SITKA,3229,AT&T,AK,LTOWER,57.114638889,-134.812305556,22.9
8 KM E OF   (94063),KAKE,WRANGELL-PETERSBURG,3228,AT&T,AK,LTOWER,56.981111111,-133.805833333,23.8
Cape Spencer Lighthouse  (94059),Gustavus,SKAGWAY-HOONAH-ANGOON,3227,AT&T,AK,LTOWER,58.1985,-136.639638889,19.5
13.5 MI NW OF SITKA  (94079),SITKA,SITKA,3226,AT&T,AK,LTOWER,57.152416667,-135.645361111,18.3
Port St Nicholas Road  (94086),Craig,PRINCE OF WALES-OUTER KETCHIKAN,3217,AT&T,AK,BTWR,55.463361111,-133.081027778,6.7
BLOCK 62  (94089),WRANGELL,WRANGELL-PETERSBURG,3218,AT&T,AK,LTOWER,56.474083333,-132.379722222,21.3
Lot 3A-2 Highlands Resource Subdivision   (94065),Haines,HAINES,3219,AT&T,AK,GTOWER,59.221388889,-135.438944444,25.9
KILLISNOO RD  (94056),ANGOON,SKAGWAY-HOONAH-ANGOON,3220,AT&T,AK,LTOWER,57.500194444,-134.580638889,39.6
48.3 km SE of Metlakatla   (94067),Hyder,KETCHIKAN GATEWAY,3221,AT&T,AK,LTOWER,54.917777778,-130.842222222,24.4
27.4 KM WNW   (94082),MEYERS CHUCK,PRINCE OF WALES-HYDER,3222,AT&T,AK,LTOWER,55.815722222,-132.685277778,44.5
AB Trail Site  (94085),Anchorage,SKAGWAY-HOONAH-ANGOON,3223,AT&T,AK,LTOWER,59.460777778,-135.32875,30.5
Lindenburg Mtn  (94076),Petersburg,WRANGELL-PETERSBURG,3224,AT&T,AK,BTWR,56.74325,-133.079222222,6.7
"Cemetery Point, Wrangell Radio Group; on Block 62  (94088)",Wrangell,WRANGELL-PETERSBURG,3225,AT&T,AK,LTOWER,56.453888889,-132.384166667,45.7
MI 12 Hatcher Pass Road  (94051),Willow,MATANUSKA-SUSITNA,20477,AT&T,AK,MTOWER,61.7715,-149.754416667,31.7
MILE POST 8.4 LAKE LOUISE ROAD  (94009),GLENNALLEN,VALDEZ-CORDOVA,20476,AT&T,AK,LTOWER,62.162694444,-146.500638889,59.1
MILE 12 TOK CUTOFF  (93983),GLENNALLEN,VALDEZ-CORDOVA,20475,AT&T,AK,LTOWER,62.41225,-145.109083333,97.2
